"Program","College","Age","Gender","FirstGen","Race","TSI_MATH","TSI_WRITING","TSI_READING","MotherEducation","FatherEducation","Homeschooled","HasGED","Highschool","FinAid","EFC"
"Paralegal","Career and Technical",27,"Female","Unknown","Hispanic/Latino","78","85","86","Unknown","Unknown",0,0,"MIDLAND CHRISTIAN SCHOOL","OTHER","0"
"Education","Education",35,"Female","Unknown","White","29","94","82","Unknown","Unknown",0,0,"WINSTON CHURCHILL HIGH SCHOOL","OTHER","0"
"Aviation Maintenance Technology","Career and Technical",25,"Male","Unknown","Hispanic/Latino","343","349","342","Unknown","Unknown",0,1,"MCCAMEY HIGH SCHOOL","FED PELL GRANT","0"
"Business Administration","Business",25,"Male","No","White","349","360","352","High School Diploma or GED","Graduate/Professional Degree",0,0,"Midland High School","FED PELL GRANT","0"
"Business Management","Business",47,"Female","Unknown","Hispanic/Latino","330","373","364","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Office Systems Technology","Career and Technical",27,"Male","No","White","330","347","338","Some College","Bachelor/Four-year Degree",0,0,"MIDLAND CHRISTIAN SCHOOL","FED PELL GRANT","0"
"Psychology","Social and Behavioral Science",25,"Female","Unknown","Hispanic/Latino","326","345","355","Some College","High School Diploma or GED",0,1,"Texas Ged","OTHER","0"
"Chemistry","Math and Science",23,"Male","No","Hispanic/Latino","350","354","355","Bachelor/Four-year Degree","High School Diploma or GED",0,1,"Texas Ged","OTHER","18135"
"Substance Abuse Counseling","Health Science",26,"Female","Yes","Hispanic/Latino","343","NULL","NULL","No High School","High School Diploma or GED",0,0,"HOBBS HIGH SCHOOL","FED PELL GRANT","0"
"Computer Information Technology","Career and Technical",49,"Female","Unknown","Hispanic/Latino","250","240","231","Unknown","Unknown",0,0,"PRESIDIO HIGH SCHOOL","OTHER","17640"
"Education","Education",35,"Female","No","Hispanic/Latino","337","74","237","Graduate/Professional Degree","Bachelor/Four-year Degree",0,0,"Midland High School","FED PELL GRANT","762"
"Education","Education",32,"Female","Yes","Hispanic/Latino","932","69","83","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","3256"
"Business Management","Business",22,"Female","No","White","NULL","367","357","Graduate/Professional Degree","High School Diploma or GED",0,0,"GREENWOOD HIGH SCHOOL","OTHER","9999999"
"Biology","Math and Science",22,"Male","Unknown","Hispanic/Latino","366","354","359","Unknown","Unknown",0,0,"MISD- LHS","OTHER","29607"
"Business Administration","Business",34,"Female","Yes","Hispanic/Latino","933","950","950","No High School","Some High School",0,1,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","1456"
"Sonography","Health Science",30,"Female","Yes","White","54","NULL","NULL","High School Diploma or GED","High School Diploma or GED",0,0,"COLORADO HIGH SCHOOL","OTHER","3455"
"Kinesiology","Math and Science",24,"Male","No","Hispanic/Latino","335","361","349","Bachelor/Four-year Degree","High School Diploma or GED",0,0,"Midland High School","OTHER","17401"
"Nursing-Associate Degree","Health Science",38,"Female","Yes","Hispanic/Latino","211","240","244","High School Diploma or GED","Some High School",1,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","27183"
"Office Systems Technology","Career and Technical",22,"Female","Unknown","Hispanic/Latino","341","349","347","Unknown","No High School",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Nursing-Associate Degree","Health Science",25,"Female","Yes","Hispanic/Latino","334","353","344","No High School","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","0"
"Business Administration","Business",26,"Female","Yes","Hispanic/Latino","339","355","352","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","925"
"Arts","Language and Fine Arts",34,"Male","Unknown","Hispanic/Latino","328","367","369","Unknown","Unknown",0,0,"WINSTON CHURCHILL HIGH SCHOOL","OTHER","0"
"Biology","Math and Science",22,"Male","Unknown","Hispanic/Latino","366","354","359","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Biology","Math and Science",27,"Female","No","Hispanic/Latino","NULL","363","357","Bachelor/Four-year Degree","Associate Degree",0,0,"MISD- LHS","FED PELL GRANT","0"
"Nursing-Vocational","Health Science",28,"Female","Unknown","Hispanic/Latino","336","345","346","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Health Information Management","Health Science",37,"Female","Unknown","White","359","99","92","Unknown","Unknown",0,0,"Texas Ged","FED PELL GRANT","0"
"Business Administration","Business",25,"Male","Unknown","Hispanic/Latino","337","345","353","Unknown","Unknown",0,0,"Midland High School","OTHER","1022"
"Business Administration","Business",36,"Female","No","White","52","93","93","Bachelor/Four-year Degree","Associate Degree",0,1,"Texas Ged","OTHER","4898"
"Paralegal","Career and Technical",34,"Female","Unknown","Hispanic/Latino","928","937","937","Unknown","Unknown",0,0,"Midland High School","OTHER","450"
"Nursing-Vocational","Health Science",25,"Female","Unknown","Hispanic/Latino","535","370","358","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","1297"
"Office Systems Technology","Career and Technical",30,"Female","No","Hispanic/Latino","351","343","349","High School Diploma or GED","Associate Degree",0,0,"Midland High School","OTHER","0"
"Cosmetology","Career and Technical",29,"Female","Yes","Hispanic/Latino","934","941","941","Some High School","Some High School",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","2929"
"Office Systems Technology","Career and Technical",27,"Male","No","White","330","347","338","Some College","Bachelor/Four-year Degree",0,0,"MIDLAND CHRISTIAN SCHOOL","OTHER","0"
"History","Social and Behavioral Science",29,"Male","Unknown","Hispanic/Latino","35","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","OTHER","7826"
"Business Management","Business",37,"Male","Unknown","White","35","56","94","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","6990"
"Arts","Language and Fine Arts",35,"Female","Unknown","White","329","360","353","Some College","Some College",0,0,"Texas Ged","FED PELL GRANT","3728"
"Diesel Technology","Career and Technical",23,"Male","Unknown","Hispanic/Latino","337","354","341","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Organizational Management","Business",42,"Male","Unknown","White","236","240","245","Unknown","Unknown",0,0,"MISD- LHS","OTHER","1585"
"Health Information Management","Health Science",33,"Female","Unknown","White","933","951","951","Unknown","High School Diploma or GED",0,1,"Texas Ged","OTHER","0"
"Business Administration","Business",24,"Female","Unknown","Hispanic/Latino","350","356","353","Unknown","Unknown",0,0,"Midland High School","OTHER","40"
"Cosmetology","Career and Technical",37,"Female","Unknown","Hispanic/Latino","331","348","349","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Diesel Technology","Career and Technical",30,"Female","No","White","329","NULL","NULL","Bachelor/Four-year Degree","High School Diploma or GED",0,1,"CORONADO HIGH SCHOOL","OTHER","0"
"Business Management","Business",23,"Male","Unknown","Hispanic/Latino","332","336","337","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"English","Language and Fine Arts",27,"Female","No","White","329","358","351","High School Diploma or GED","Bachelor/Four-year Degree",0,0,"CONTINENTAL ACADEMY","OTHER","9999999"
"Energy Technology","Career and Technical",20,"Male","Yes","Hispanic/Latino","961","938","938","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","7795"
"Business Administration","Business",24,"Female","Unknown","Hispanic/Latino","350","365","357","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Child Care and Development","Education",47,"Female","Unknown","White","28","90","87","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Nursing-Associate Degree","Health Science",32,"Female","Yes","White","351","26","187","High School Diploma or GED","High School Diploma or GED",0,0,"ROOSEVELT HIGH SCHOOL","FED PELL GRANT","2662"
"Biology","Math and Science",24,"Female","Unknown","Hispanic/Latino","934","372","364","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Energy Technology","Career and Technical",22,"Male","Unknown","Hispanic/Latino","NULL","354","350","Unknown","High School Diploma or GED",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","9999999"
"Business Management","Business",27,"Female","Unknown","Hispanic/Latino","325","348","341","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Health Services Management","Health Science",63,"Female","Yes","White","234","270","245","No High School","No High School",0,0,"PERMIAN HIGH SCHOOL","OTHER","9999999"
"Energy Technology","Career and Technical",20,"Male","Unknown","Black or African American","912","922","922","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Business Administration","Business",24,"Female","No","Hispanic/Latino","348","362","358","Associate Degree","Associate Degree",0,0,"Midland High School","OTHER","50150"
"Engineering","Math and Science",21,"Female","Unknown","Hispanic/Latino","313","367","344","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Air Conditioning, Heating and Refrigeration Technology","Career and Technical",37,"Female","No","Hispanic/Latino","342","70","347","Unknown","Associate Degree",0,1,"Texas Ged","FED PELL GRANT","9999999"
"Paralegal","Career and Technical",29,"Female","Yes","Hispanic/Latino","358","69","83","No High School","No High School",0,0,"MISD- LHS","FED PELL GRANT","0"
"Education","Education",35,"Female","Unknown","White","29","94","82","Unknown","Unknown",0,0,"WINSTON CHURCHILL HIGH SCHOOL","FED PELL GRANT","0"
"Cosmetology","Career and Technical",31,"Female","Unknown","Black or African American","325","350","346","Unknown","Unknown",0,0,"Midland High School","OTHER","2945"
"Paralegal","Career and Technical",31,"Female","Yes","Hispanic/Latino","320","364","346","Some High School","Some High School",0,0,"MISD- LHS","OTHER","0"
"Kinesiology","Math and Science",27,"Male","Unknown","White","338","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","OTHER","10690"
"Sociology","Social and Behavioral Science",30,"Female","Unknown","Hispanic/Latino","333","370","359","High School Diploma or GED","Some College",0,1,"Texas Ged","OTHER","0"
"Biology","Math and Science",24,"Female","Unknown","Hispanic/Latino","934","372","364","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Air Conditioning, Heating and Refrigeration Technology","Career and Technical",34,"Male","Unknown","Black or African American","36","84","77","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Psychology","Social and Behavioral Science",26,"Female","Unknown","White","330","366","375","Unknown","Unknown",0,0,"Texas Ged","FED PELL GRANT","0"
"Cosmetology","Career and Technical",23,"Female","No","Hispanic/Latino","345","362","356","Associate Degree","Associate Degree",0,0,"Midland High School","OTHER","0"
"Health Information Management","Health Science",33,"Female","Yes","Hispanic/Latino","346","339","347","High School Diploma or GED","High School Diploma or GED",0,0,"Texas Ged","FED PELL GRANT","0"
"Business Administration","Business",31,"Female","Unknown","White","349","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Geology","Math and Science",38,"Male","No","White","30","60","81","High School Diploma or GED","Bachelor/Four-year Degree",0,1,"Texas Ged","OTHER","9999999"
"Energy Technology","Career and Technical",20,"Male","Yes","Hispanic/Latino","961","938","938","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","9999999"
"Nursing-Associate Degree","Health Science",24,"Female","Unknown","Black or African American","335","352","344","Unknown","Unknown",0,1,"Midland High School","OTHER","62"
"Music","Language and Fine Arts",28,"Female","Unknown","Hispanic/Latino","939","941","941","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Psychology","Social and Behavioral Science",32,"Female","Yes","White","918","346","349","High School Diploma or GED","High School Diploma or GED",0,1,"Texas Ged","OTHER","9418"
"Respiratory Care","Health Science",22,"Male","Unknown","Hispanic/Latino","347","353","356","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","9999999"
"Psychology","Social and Behavioral Science",33,"Female","Unknown","Hispanic/Latino","246","205","224","Some High School","Some College",0,0,"MISD- LHS","OTHER","4335"
"Biology","Math and Science",30,"Female","Yes","White","311","346","345","High School Diploma or GED","High School Diploma or GED",0,0,"Texas Home School","OTHER","9999999"
"Respiratory Care","Health Science",27,"Female","Yes","Black or African American","344","365","351","Some High School","High School Diploma or GED",0,0,"MISD- LHS","OTHER","0"
"Nursing-Vocational","Health Science",40,"Female","Unknown","Black or African American","197","180","248","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","9999999"
"Business Administration","Business",31,"Female","No","White","20","87","89","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Education","Education",24,"Female","Yes","Hispanic/Latino","359","370","363","No High School","No High School",0,0,"Midland High School","OTHER","0"
"Biology","Math and Science",24,"Female","Yes","Hispanic/Latino","350","348","361","No High School","No High School",0,0,"MISD- LHS","OTHER","9999999"
"Office Systems Technology","Career and Technical",59,"Female","Unknown","Hispanic/Latino","310","356","348","Unknown","Unknown",0,0,"Not Used....Was Unknown High School","FED PELL GRANT","2"
"Music","Language and Fine Arts",22,"Female","Unknown","White","337","354","356","Unknown","Unknown",0,0,"MISD- LHS","OTHER","20820"
"Nursing-Vocational","Health Science",42,"Female","Yes","Hispanic/Latino","253","99","271","Some High School","High School Diploma or GED",0,1,"Texas Ged","OTHER","4884"
"Education","Education",30,"Male","Yes","Hispanic/Latino","27","18","66","No High School","No High School",0,0,"MISD- LHS","OTHER","4339"
"Nursing-Associate Degree","Health Science",49,"Female","Unknown","Black or African American","246","240","226","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Office Systems Technology","Career and Technical",34,"Female","Unknown","Hispanic/Latino","233","240","189","Unknown","Unknown",0,0,"BIG BEND HIGH SCHOOL","FED PELL GRANT","4481"
"Nursing-Associate Degree","Health Science",24,"Female","Unknown","Hispanic/Latino","310","351","350","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Business Administration","Business",23,"Female","Unknown","Hispanic/Latino","352","363","356","Unknown","Unknown",0,0,"Midland High School","OTHER","7748"
"English","Language and Fine Arts",33,"Female","Unknown","Hispanic/Latino","246","205","224","Some High School","Some College",0,0,"MISD- LHS","FED PELL GRANT","4335"
